背番号,ポジション,名前,学年,紹介コメント,打率,本塁打,打点,防御率,球数
11,投,山田 哲也,3年,安定感抜群の大黒柱。スライダーが武器。,.120,0,0,1.85,92
12,捕,木村 悠人,2年,的なリードで投手を引っ張る女房役。,.265,1,8,0.00,0
13,一,斎藤 翔太,3年,長打力が自慢の主砲。,.340,8,28,0.00,0
14,二,清水 拓也,3年,堅実な守備 and 小技が得意なセカンド。,.270,0,7,0.00,0
15,三,井上 大輝,2年,シュアなバッティングが持ち味。,.280,2,11,0.00,0
16,遊,林 拓海,2年,抜群の身体能力を誇るショート。,.295,3,14,0.00,0
17,左,山崎 太陽,3年,俊足でチャンスメイクするリードオフマン。,.315,2,13,0.00,0
18,中,森 翔平,3年,走攻守三拍子揃ったセンター。,.300,5,20,0.00,0
19,右,吉田 陸,1年,パンチ力のあるバッティングが武器のライト。,.255,1,6,0.00,0
20,投,山口 俊,2年,力強い速球で押すパワーピッチャー。,.000,0,0,4.20,30
