背番号,ポジション,名前,学年,紹介コメント,打率,本塁打,打点,防御率,球数
1,投,米倉 羽希,3年,エースピッチャー。最速145km/hの直球が武器。,.150,0,1,2.45,85
2,捕,佐藤 大雅,3年,強肩強打の頼れるキャプテン。,.320,4,22,0.00,0
3,一,鈴木 健太,2年,長打力が魅力のファースト。,.285,6,18,0.00,0
4,二,田中 陸,2年,俊足巧打のセカンド。守備範囲が広い。,.290,1,10,0.00,0
5,三,渡辺 翔,3年,守備の要。サードのホットコーナーを守る。,.260,2,12,0.00,0
6,遊,高橋 翼,1年,期待のルーキー。俊敏な動きが持ち味。,.275,0,8,0.00,0
7,左,小林 拓海,3年,ミート力抜群のレフト。,.305,1,15,0.00,0
8,中,伊藤 駿,3年,俊足を生かした広い守備範囲を誇るセンター。,.280,3,11,0.00,0
9,右,中村 太陽,2年,強肩を生かしたライトからのレーザービーム。,.250,2,9,0.00,0
10,投,山本 拓也,2年,変化球のキレが良い技巧派サウスポー。,.000,0,0,3.15,45
